"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","9","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","7","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","31","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","16","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","6","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","34","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","18","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","40","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/Bottom.Bottom","0","0","30","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Textures/comp03_1_Mat.comp03_1_Mat","0","0","7","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","15","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","40","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","30","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","30","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","7","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","30","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/Top.Top","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/Side.Side","0","0","30","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","30","1","0.000000","0","0"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","0","42","1","0.000000","0","0"
"/MeshModelingToolsetExp/Materials/SimpleBaseMaterial.SimpleBaseMaterial","0","0","18","1","0.000000","0","0"
"/Game/Blueprints/Rails.Rails","0","0","18","1","0.000000","0","0"
"/Game/Blueprints/Front.Front","0","0","18","1","0.000000","0","0"
"/Game/Blueprints/Back.Back","0","0","18","1","0.000000","0","0"
"/Game/Lit2DMAT.Lit2DMAT","0","0","33","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","7","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","88","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/BlackUnlitMaterial.BlackUnlitMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","0","42","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","0","30","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","0","30","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","0","42","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","8","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/bcrat32_Mat.bcrat32_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/bcratem1_Mat.bcratem1_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/bfall3_Mat.bfall3_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/blitb0_Mat.blitb0_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/blita0_Mat.blita0_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/blod64b_Mat.blod64b_Mat","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","41","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","42","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","42","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","42","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/body_2_Mat.body_2_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/body_1_Mat.body_1_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/bodies_Mat.bodies_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/blutnt_Mat.blutnt_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/blod64a_Mat.blod64a_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/blod128b_Mat.blod128b_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/blod128a_Mat.blod128a_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/blitc0_Mat.blitc0_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/bigwall_Mat.bigwall_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/bigmural_Mat.bigmural_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/bfall4_Mat.bfall4_Mat","0","0","18","1","0.000000","0","0"
"/Game/Sprites/CustomSprites/Materials/patched/bfall2_Mat.bfall2_Mat","0","0","18","1","0.000000","0","0"
